x,y,ble_rssi1,ble_rssi2,ble_rssi3,ble_rssi4,ble_rssi5,ble_rssi6,ble_rssi7,ble_rssi8,sle_rssi1,sle_rssi2,sle_rssi3,sle_rssi4,sle_rssi5,sle_rssi6,sle_rssi7,sle_rssi8
1,1,-69.84861103,-68.31349099,-63.96085778,-61.41874986,-66.58455514,-41.76515085,-65.96637548,-66.42863216,-68.3751429,-69.76709143,-65.64697546,-63.99099968,-69.75769838,-40.26318947,-68.09369632,-63.93826681
1,2,-69.78842536,-64.83733924,-64.47266623,-63.42587013,-65.88351894,-46.80021512,-67.12694677,-67.12333235,-69.32207215,-65.22030542,-65.83599676,-63.32290282,-67.24388368,-45.21583851,-67.02596806,-65.38105077
1,3,-72.1898496,-63.72898572,-69.05370141,-61.29975699,-67.89905449,-47.47571385,-67.41704539,-70.7429804,-74.40605314,-63.76125393,-65.51416376,-61.20897696,-66.45412887,-47.77489497,-67.76295385,-66.54064066
1,4,-69.06257732,-61.9141453,-64.86219367,-61.28617962,-64.00383351,-49.53084435,-63.14719686,-67.69986931,-68.38198275,-62.99204036,-65.16665919,-59.27906048,-65.8171508,-50.61527917,-61.85524689,-66.06109658
1,5,-67.18944779,-64.94440697,-66.11592167,-58.03704528,-66.49662388,-53.52446437,-62.10329258,-68.50894919,-63.46919555,-65.70484641,-65.48631457,-59.2738736,-65.48932477,-52.86516284,-62.95918089,-66.97490314
1,6,-66.75262511,-68.72952731,-66.37311054,-53.40799959,-64.42411943,-54.889031,-63.62697255,-68.2906677,-63.69809861,-69.52438875,-67.44513895,-61.24138029,-65.08359964,-54.1648225,-63.36293831,-67.71784553
1,7,-71.63810895,-65.00728979,-68.65410741,-58.64511679,-64.01102709,-55.91844407,-64.0520636,-68.95276423,-67.30868128,-64.25325772,-67.84045835,-52.93175799,-65.22933474,-53.82604336,-62.34190636,-67.58512466
1,8,-60.85320224,-59.89301893,-66.84522976,-48.80710802,-65.20965809,-55.471506,-62.72131297,-69.98772415,-60.85828766,-59.27943563,-69.0542674,-43.01424477,-69.23349298,-54.89215817,-60.00373983,-69.93701827
1,9,-66.04555818,-60.6490512,-71.08357526,-46.22166913,-67.0489594,-57.8853793,-64.79548087,-73.85129948,-67.43674869,-59.14440824,-68.21466466,-43.05225577,-68.73649688,-57.58113213,-61.78496665,-71.97362842
1,10,-60.57644766,-61.3950561,-66.70118249,-50.02375026,-69.18667565,-57.09340579,-65.9482491,-75.31632207,-62.26070824,-63.10447496,-68.10668339,-51.29422081,-71.39192069,-57.16780547,-66.21940969,-73.12359394
